Date,Value
1/1/1980,"865,759"
2/1/1980,"886,371"
3/1/1980,"1,025,072"
4/1/1980,"901,473"
5/1/1980,"856,507"
6/1/1980,"789,714"
7/1/1980,"841,700"
8/1/1980,"905,209"
9/1/1980,"796,761"
10/1/1980,"945,738"
11/1/1980,"803,173"
12/1/1980,"684,629"
1/1/1981,"761,220"
2/1/1981,"766,833"
3/1/1981,"849,530"
4/1/1981,"797,043"
5/1/1981,"818,443"
6/1/1981,"755,897"
7/1/1981,"859,526"
8/1/1981,"799,871"
9/1/1981,"755,622"
10/1/1981,"863,883"
11/1/1981,"781,398"
12/1/1981,"670,461"
1/1/1982,"792,907"
2/1/1982,"777,745"
3/1/1982,"868,098"
4/1/1982,"825,439"
5/1/1982,"789,510"
6/1/1982,"749,173"
7/1/1982,"786,518"
8/1/1982,"841,620"
9/1/1982,"740,662"
10/1/1982,"877,949"
11/1/1982,"764,631"
12/1/1982,"624,394"
1/1/1983,"772,790"
2/1/1983,"809,870"
3/1/1983,"976,710"
4/1/1983,"915,580"
5/1/1983,"908,464"
6/1/1983,"865,863"
7/1/1983,"836,432"
8/1/1983,"882,353"
9/1/1983,"831,752"
10/1/1983,"941,342"
11/1/1983,"862,697"
12/1/1983,"698,988"
1/1/1984,"789,587"
2/1/1984,"814,920"
3/1/1984,"963,246"
4/1/1984,"821,725"
5/1/1984,"809,050"
6/1/1984,"793,598"
7/1/1984,"855,164"
8/1/1984,"887,011"
9/1/1984,"851,342"
10/1/1984,"980,260"
11/1/1984,"883,921"
12/1/1984,"691,985"
1/1/1985,"860,979"
2/1/1985,"845,450"
3/1/1985,"1,022,215"
4/1/1985,"944,425"
5/1/1985,"916,365"
6/1/1985,"849,989"
7/1/1985,"897,935"
8/1/1985,"951,782"
9/1/1985,"847,360"
10/1/1985,"1,026,347"
11/1/1985,"947,006"
12/1/1985,"814,194"
1/1/1986,"909,243"
2/1/1986,"1,017,767"
3/1/1986,"1,178,936"
4/1/1986,"1,043,660"
5/1/1986,"1,045,099"
6/1/1986,"963,745"
7/1/1986,"970,632"
8/1/1986,"1,087,701"
9/1/1986,"996,330"
10/1/1986,"1,168,124"
11/1/1986,"1,126,432"
12/1/1986,"921,079"
1/1/1987,"1,096,046"
2/1/1987,"1,203,646"
3/1/1987,"1,427,636"
4/1/1987,"1,329,601"
5/1/1987,"1,338,988"
6/1/1987,"1,253,599"
7/1/1987,"1,350,089"
8/1/1987,"1,455,443"
9/1/1987,"1,241,603"
10/1/1987,"1,456,415"
11/1/1987,"1,345,277"
12/1/1987,"1,083,959"
1/1/1988,"1,199,718"
2/1/1988,"1,299,524"
3/1/1988,"1,473,001"
4/1/1988,"1,382,984"
5/1/1988,"1,396,257"
6/1/1988,"1,300,370"
7/1/1988,"1,400,028"
8/1/1988,"1,457,456"
9/1/1988,"1,317,999"
10/1/1988,"1,463,768"
11/1/1988,"1,363,449"
12/1/1988,"1,176,645"
1/1/1989,"1,248,678"
2/1/1989,"1,312,023"
3/1/1989,"1,520,828"
