Date,U.S. Regular All Formulations Retail Gasoline Prices (Dollars per Gallon)
8/15/1990,
9/15/1990,1.258
10/15/1990,1.335
11/15/1990,1.324
12/15/1990,
1/15/1991,
2/15/1991,1.094
3/15/1991,1.04
4/15/1991,1.076
5/15/1991,1.126
6/15/1991,1.128
7/15/1991,1.096
8/15/1991,1.115
9/15/1991,1.109
10/15/1991,1.088
11/15/1991,1.099
12/15/1991,1.076
1/15/1992,1.022
2/15/1992,1.006
3/15/1992,1.013
4/15/1992,1.052
5/15/1992,1.107
6/15/1992,1.145
7/15/1992,1.137
8/15/1992,1.122
9/15/1992,1.122
10/15/1992,1.114
11/15/1992,1.111
12/15/1992,1.078
1/15/1993,1.062
2/15/1993,1.054
3/15/1993,1.052
4/15/1993,1.078
5/15/1993,1.1
6/15/1993,1.097
7/15/1993,1.078
8/15/1993,1.062
9/15/1993,1.05
10/15/1993,1.092
11/15/1993,1.066
12/15/1993,1.014
1/15/1994,0.998
2/15/1994,1.009
3/15/1994,1.008
4/15/1994,1.027
5/15/1994,1.047
6/15/1994,1.078
7/15/1994,1.106
8/15/1994,1.155
9/15/1994,1.144
10/15/1994,1.114
11/15/1994,1.116
12/15/1994,1.091
1/15/1995,1.082
2/15/1995,1.073
3/15/1995,1.072
4/15/1995,1.111
5/15/1995,1.178
6/15/1995,1.192
7/15/1995,1.154
8/15/1995,1.123
9/15/1995,1.111
10/15/1995,1.087
11/15/1995,1.062
12/15/1995,1.071
1/15/1996,1.09
2/15/1996,1.089
3/15/1996,1.137
4/15/1996,1.231
5/15/1996,1.279
6/15/1996,1.256
7/15/1996,1.227
8/15/1996,1.207
9/15/1996,1.202
10/15/1996,1.204
11/15/1996,1.232
12/15/1996,1.235
1/15/1997,1.236
2/15/1997,1.23
3/15/1997,1.205
4/15/1997,1.199
5/15/1997,1.2
6/15/1997,1.198
7/15/1997,1.174
8/15/1997,1.224
9/15/1997,1.231
10/15/1997,1.197
11/15/1997,1.171
12/15/1997,1.131
1/15/1998,1.086
2/15/1998,1.049
3/15/1998,1.017
4/15/1998,1.03
5/15/1998,1.064
6/15/1998,1.064
7/15/1998,1.055
8/15/1998,1.026
9/15/1998,1.009
10/15/1998,1.019
11/15/1998,0.995
12/15/1998,0.945
1/15/1999,0.939
2/15/1999,0.921
3/15/1999,0.982
4/15/1999,1.131
5/15/1999,1.131
6/15/1999,1.114
7/15/1999,1.158
8/15/1999,1.221
9/15/1999,1.256
10/15/1999,1.244
11/15/1999,1.251
12/15/1999,1.273
1/15/2000,1.289
2/15/2000,1.377
3/15/2000,1.516
4/15/2000,1.465
5/15/2000,1.487
6/15/2000,1.633
7/15/2000,1.551
8/15/2000,1.465
9/15/2000,1.55
10/15/2000,1.532
11/15/2000,1.517
12/15/2000,1.443
1/15/2001,1.447
2/15/2001,1.45
3/15/2001,1.409
4/15/2001,1.552
5/15/2001,1.702
6/15/2001,1.616
7/15/2001,1.421
8/15/2001,1.421
9/15/2001,1.522
10/15/2001,1.315
11/15/2001,1.171
12/15/2001,1.086
1/15/2002,1.107
2/15/2002,1.114
3/15/2002,1.249
4/15/2002,1.397
5/15/2002,1.392
6/15/2002,1.382
7/15/2002,1.397
8/15/2002,1.396
9/15/2002,1.4
10/15/2002,1.445
11/15/2002,1.419
12/15/2002,1.386
1/15/2003,1.458
2/15/2003,1.613
3/15/2003,1.693
4/15/2003,1.589
5/15/2003,1.497
6/15/2003,1.493
7/15/2003,1.513
8/15/2003,1.62
9/15/2003,1.679
10/15/2003,1.564
11/15/2003,1.512
12/15/2003,1.479
1/15/2004,1.572
2/15/2004,1.648
3/15/2004,1.736
4/15/2004,1.798
5/15/2004,1.983
6/15/2004,1.969
7/15/2004,1.911
8/15/2004,1.878
9/15/2004,1.87
10/15/2004,2
11/15/2004,1.979
12/15/2004,1.841
1/15/2005,1.831
2/15/2005,1.91
3/15/2005,2.079
4/15/2005,2.243
5/15/2005,2.161
6/15/2005,2.156
7/15/2005,2.29
8/15/2005,2.486
9/15/2005,2.903
10/15/2005,2.717
11/15/2005,2.257
12/15/2005,2.185
1/15/2006,2.316
2/15/2006,2.28
