Year,PCE,Core PCE,Month,Date,PCE YoY Change %,Core PCE YoY Change %
1959,15.164,15.501,1,1/31/1959,,
1959,15.179,15.513,2,2/28/1959,,
1959,15.189,15.531,3,3/31/1959,,
1959,15.219,15.57,4,4/30/1959,,
1959,15.227,15.589,5,5/31/1959,,
1959,15.271,15.635,6,6/30/1959,,
1959,15.303,15.672,7,7/31/1959,,
1959,15.325,15.697,8,8/31/1959,,
1959,15.365,15.738,9,9/30/1959,,
1959,15.402,15.765,10,10/31/1959,,
1959,15.412,15.794,11,11/30/1959,,
1959,15.43,15.818,12,12/31/1959,,
1960,15.421,15.822,1,1/31/1960,1.69,2.07
1960,15.437,15.852,2,2/29/1960,1.7,2.19
1960,15.446,15.853,3,3/31/1960,1.69,2.07
1960,15.502,15.882,4,4/30/1960,1.86,2
1960,15.518,15.908,5,5/31/1960,1.91,2.05
1960,15.525,15.917,6,6/30/1960,1.66,1.8
1960,15.553,15.945,7,7/31/1960,1.63,1.74
1960,15.579,15.968,8,8/31/1960,1.66,1.73
1960,15.588,15.981,9,9/30/1960,1.45,1.54
1960,15.606,15.99,10,10/31/1960,1.32,1.43
1960,15.659,16.033,11,11/30/1960,1.6,1.51
1960,15.662,16.028,12,12/31/1960,1.5,1.33
1961,15.665,16.032,1,1/31/1961,1.58,1.33
1961,15.679,16.048,2,2/28/1961,1.57,1.24
1961,15.67,16.053,3,3/31/1961,1.45,1.26
1961,15.661,16.075,4,4/30/1961,1.03,1.22
1961,15.67,16.096,5,5/31/1961,0.98,1.18
1961,15.677,16.12,6,6/30/1961,0.98,1.28
1961,15.711,16.145,7,7/31/1961,1.02,1.25
1961,15.724,16.162,8,8/31/1961,0.93,1.21
1961,15.742,16.194,9,9/30/1961,0.99,1.33
1961,15.741,16.199,10,10/31/1961,0.87,1.31
1961,15.742,16.202,11,11/30/1961,0.53,1.05
1961,15.746,16.216,12,12/31/1961,0.54,1.17
1962,15.776,16.235,1,1/31/1962,0.71,1.27
1962,15.818,16.262,2,2/28/1962,0.89,1.33
1962,15.839,16.3,3,3/31/1962,1.08,1.54
1962,15.857,16.303,4,4/30/1962,1.25,1.42
1962,15.867,16.326,5,5/31/1962,1.26,1.43
1962,15.877,16.356,6,6/30/1962,1.28,1.46
1962,15.868,16.37,7,7/31/1962,1,1.39
1962,15.891,16.372,8,8/31/1962,1.06,1.3
1962,15.969,16.404,9,9/30/1962,1.44,1.3
1962,15.953,16.403,10,10/31/1962,1.35,1.26
1962,15.964,16.415,11,11/30/1962,1.41,1.31
1962,15.958,16.42,12,12/31/1962,1.35,1.26
1963,15.997,16.451,1,1/31/1963,1.4,1.33
1963,16.014,16.47,2,2/28/1963,1.24,1.28
1963,16.001,16.48,3,3/31/1963,1.02,1.1
1963,16,16.5,4,4/30/1963,0.9,1.21
1963,16.026,16.53,5,5/31/1963,1,1.25
1963,16.061,16.558,6,6/30/1963,1.16,1.24
1963,16.093,16.573,7,7/31/1963,1.42,1.24
1963,16.115,16.588,8,8/31/1963,1.41,1.32
1963,16.112,16.618,9,9/30/1963,0.9,1.3
1963,16.143,16.655,10,10/31/1963,1.19,1.54
1963,16.166,16.67,11,11/30/1963,1.27,1.55
