Year,Period,Label,Value,12-Month % Change,Month
2009,M11,2009 Nov,100,,11/30/2009
2009,M12,2009 Dec,99.9,,12/31/2009
2010,M01,2010 Jan,101,,1/31/2010
2010,M02,2010 Feb,100.9,,2/28/2010
2010,M03,2010 Mar,101.2,,3/31/2010
2010,M04,2010 Apr,101.6,,4/30/2010
2010,M05,2010 May,101.8,,5/31/2010
2010,M06,2010 Jun,101.6,,6/30/2010
2010,M07,2010 Jul,101.7,,7/31/2010
2010,M08,2010 Aug,101.9,,8/31/2010
2010,M09,2010 Sep,102,,9/30/2010
2010,M10,2010 Oct,102.5,,10/31/2010
2010,M11,2010 Nov,102.6,2.6,11/30/2010
2010,M12,2010 Dec,102.7,2.8,12/31/2010
2011,M01,2011 Jan,103.4,2.4,1/31/2011
2011,M02,2011 Feb,104.2,3.3,2/28/2011
2011,M03,2011 Mar,105.2,4,3/31/2011
2011,M04,2011 Apr,105.9,4.2,4/30/2011
2011,M05,2011 May,106.1,4.2,5/31/2011
2011,M06,2011 Jun,106,4.3,6/30/2011
2011,M07,2011 Jul,106.3,4.5,7/31/2011
2011,M08,2011 Aug,106.4,4.4,8/31/2011
2011,M09,2011 Sep,106.6,4.5,9/30/2011
2011,M10,2011 Oct,106.3,3.7,10/31/2011
2011,M11,2011 Nov,106.4,3.7,11/30/2011
2011,M12,2011 Dec,106,3.2,12/31/2011
2012,M01,2012 Jan,106.6,3.1,1/31/2012
2012,M02,2012 Feb,107.1,2.8,2/29/2012
2012,M03,2012 Mar,107.7,2.4,3/31/2012
2012,M04,2012 Apr,108,2,4/30/2012
2012,M05,2012 May,107.8,1.6,5/31/2012
2012,M06,2012 Jun,107.4,1.3,6/30/2012
2012,M07,2012 Jul,107.4,1,7/31/2012
2012,M08,2012 Aug,107.7,1.2,8/31/2012
2012,M09,2012 Sep,108.2,1.5,9/30/2012
2012,M10,2012 Oct,108.3,1.9,10/31/2012
2012,M11,2012 Nov,108.2,1.7,11/30/2012
2012,M12,2012 Dec,108,1.9,12/31/2012
2013,M01,2013 Jan,108.3,1.6,1/31/2013
2013,M02,2013 Feb,108.8,1.6,2/28/2013
2013,M03,2013 Mar,109.1,1.3,3/31/2013
2013,M04,2013 Apr,109,0.9,4/30/2013
2013,M05,2013 May,108.8,0.9,5/31/2013
2013,M06,2013 Jun,109.2,1.7,6/30/2013
2013,M07,2013 Jul,109.5,2,7/31/2013
2013,M08,2013 Aug,109.5,1.7,8/31/2013
2013,M09,2013 Sep,109.4,1.1,9/30/2013
2013,M10,2013 Oct,109.7,1.3,10/31/2013
2013,M11,2013 Nov,109.4,1.1,11/30/2013
2013,M12,2013 Dec,109.3,1.2,12/31/2013
2014,M01,2014 Jan,109.7,1.3,1/31/2014
2014,M02,2014 Feb,110.1,1.2,2/28/2014
2014,M03,2014 Mar,110.8,1.6,3/31/2014
2014,M04,2014 Apr,111,1.8,4/30/2014
2014,M05,2014 May,111.1,2.1,5/31/2014
2014,M06,2014 Jun,111.2,1.8,6/30/2014
2014,M07,2014 Jul,111.6,1.9,7/31/2014
2014,M08,2014 Aug,111.6,1.9,8/31/2014
2014,M09,2014 Sep,111.1,1.6,9/30/2014
2014,M10,2014 Oct,111.4,1.5,10/31/2014
2014,M11,2014 Nov,110.8,1.3,11/30/2014
2014,M12,2014 Dec,110.3,0.9,12/31/2014
2015,M01,2015 Jan,109.7,0,1/31/2015
2015,M02,2015 Feb,109.5,-0.5,2/28/2015
2015,M03,2015 Mar,109.8,-0.9,3/31/2015
2015,M04,2015 Apr,109.8,-1.1,4/30/2015
2015,M05,2015 May,110.2,-0.8,5/31/2015
2015,M06,2015 Jun,110.6,-0.5,6/30/2015
2015,M07,2015 Jul,110.8,-0.7,7/31/2015
2015,M08,2015 Aug,110.5,-1,8/31/2015
2015,M09,2015 Sep,109.9,-1.1,9/30/2015
2015,M10,2015 Oct,109.8,-1.4,10/31/2015
2015,M11,2015 Nov,109.4,-1.3,11/30/2015
2015,M12,2015 Dec,109.1,-1.1,12/31/2015
2016,M01,2016 Jan,109.7,0,1/31/2016
2016,M02,2016 Feb,109.6,0.1,2/29/2016
2016,M03,2016 Mar,109.7,-0.1,3/31/2016
2016,M04,2016 Apr,110,0.2,4/30/2016
2016,M05,2016 May,110.2,0,5/31/2016
2016,M06,2016 Jun,110.8,0.2,6/30/2016
2016,M07,2016 Jul,110.8,0,7/31/2016
2016,M08,2016 Aug,110.5,0,8/31/2016
2016,M09,2016 Sep,110.6,0.6,9/30/2016
2016,M10,2016 Oct,111,1.1,10/31/2016
2016,M11,2016 Nov,110.8,1.3,11/30/2016
2016,M12,2016 Dec,111,1.7,12/31/2016
2017,M01,2017 Jan,111.6,1.7,1/31/2017
2017,M02,2017 Feb,111.8,2,2/28/2017
2017,M03,2017 Mar,112.1,2.2,3/31/2017
2017,M04,2017 Apr,112.7,2.5,4/30/2017
2017,M05,2017 May,112.7,2.3,5/31/2017
2017,M06,2017 Jun,112.9,1.9,6/30/2017
2017,M07,2017 Jul,113,2,7/31/2017
2017,M08,2017 Aug,113.2,2.4,8/31/2017
2017,M09,2017 Sep,113.5,2.6,9/30/2017
2017,M10,2017 Oct,114.1,2.8,10/31/2017
2017,M11,2017 Nov,114.1,3,11/30/2017
2017,M12,2017 Dec,113.8,2.5,12/31/2017
2018,M01,2018 Jan,114.5,2.6,1/31/2018
2018,M02,2018 Feb,114.9,2.8,2/28/2018
2018,M03,2018 Mar,115.4,2.9,3/31/2018
2018,M04,2018 Apr,115.7,2.7,4/30/2018
2018,M05,2018 May,116.2,3.1,5/31/2018
2018,M06,2018 Jun,116.6,3.3,6/30/2018
2018,M07,2018 Jul,116.8,3.4,7/31/2018
2018,M08,2018 Aug,116.6,3,8/31/2018
2018,M09,2018 Sep,116.6,2.7,9/30/2018
2018,M10,2018 Oct,117.6,3.1,10/31/2018
2018,M11,2018 Nov,117.1,2.6,11/30/2018
2018,M12,2018 Dec,116.8,2.6,12/31/2018
2019,M01,2019 Jan,116.7,1.9,1/31/2019
2019,M02,2019 Feb,117.1,1.9,2/28/2019
2019,M03,2019 Mar,117.7,2,3/31/2019
2019,M04,2019 Apr,118.5,2.4,4/30/2019
2019,M05,2019 May,118.6,2.1,5/31/2019
2019,M06,2019 Jun,118.5,1.6,6/30/2019
2019,M07,2019 Jul,118.7,1.6,7/31/2019
2019,M08,2019 Aug,118.8,1.9,8/31/2019
2019,M09,2019 Sep,118.3,1.5,9/30/2019
2019,M10,2019 Oct,118.8,1,10/31/2019
2019,M11,2019 Nov,118.3,1,11/30/2019
2019,M12,2019 Dec,118.4,1.4,12/31/2019
2020,M01,2020 Jan,119,2,1/31/2020
2020,M02,2020 Feb,118.4,1.1,2/29/2020
2020,M03,2020 Mar,118.1,0.3,3/31/2020
2020,M04,2020 Apr,116.7,-1.5,4/30/2020
2020,M05,2020 May,117.3,-1.1,5/31/2020
