Date,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
12/31/10,0.07,,0.12,,0.19,0.29,0.61,1.02,2.01,2.71,3.3,4.13,4.34
12/30/10,0.05,,0.12,,0.2,0.29,0.66,1.07,2.06,2.76,3.38,4.21,4.43
12/29/10,0.05,,0.13,,0.2,0.3,0.64,1.05,2.03,2.75,3.35,4.19,4.41
12/28/10,0.08,,0.15,,0.21,0.31,0.75,1.17,2.18,2.89,3.5,4.33,4.53
12/27/10,0.06,,0.17,,0.22,0.32,0.71,1.11,2.08,2.76,3.36,4.2,4.42
12/23/10,0.07,,0.14,,0.19,0.3,0.67,1.1,2.09,2.8,3.41,4.26,4.47
12/22/10,0.07,,0.14,,0.2,0.3,0.65,1.05,2.02,2.74,3.36,4.23,4.45
12/21/10,0.09,,0.14,,0.19,0.3,0.63,1.02,1.99,2.71,3.35,4.21,4.44
12/20/10,0.04,,0.14,,0.19,0.3,0.62,1.01,1.99,2.72,3.36,4.21,4.44
12/17/10,0.05,,0.11,,0.18,0.3,0.61,0.99,1.97,2.69,3.33,4.19,4.41
12/16/10,0.08,,0.13,,0.19,0.31,0.66,1.05,2.06,2.81,3.47,4.32,4.57
12/15/10,0.08,,0.14,,0.2,0.3,0.68,1.08,2.11,2.88,3.53,4.37,4.59
12/14/10,0.09,,0.15,,0.2,0.3,0.66,1.06,2.08,2.84,3.49,4.32,4.54
12/13/10,0.1,,0.15,,0.19,0.29,0.61,0.98,1.91,2.64,3.29,4.15,4.39
12/10/10,0.09,,0.13,,0.18,0.29,0.64,1.03,1.98,2.7,3.32,4.19,4.43
12/9/10,0.09,,0.14,,0.18,0.3,0.64,0.99,1.9,2.62,3.23,4.15,4.41
12/8/10,0.08,,0.15,,0.18,0.3,0.63,0.97,1.87,2.62,3.26,4.18,4.45
12/7/10,0.08,,0.14,,0.19,0.28,0.54,0.87,1.74,2.51,3.15,4.11,4.39
12/6/10,0.14,,0.15,,0.19,0.26,0.42,0.73,1.53,2.26,2.95,3.94,4.25
12/3/10,0.14,,0.14,,0.19,0.26,0.49,0.8,1.64,2.36,3.03,4.01,4.32
12/2/10,0.16,,0.16,,0.19,0.29,0.55,0.86,1.68,2.37,3.01,3.97,4.27
12/1/10,0.17,,0.16,,0.2,0.28,0.53,0.84,1.64,2.33,2.97,3.95,4.24
11/30/10,0.18,,0.17,,0.21,0.27,0.45,0.72,1.47,2.16,2.81,3.8,4.12
11/29/10,0.16,,0.18,,0.21,0.28,0.52,0.77,1.51,2.19,2.84,3.83,4.16
11/26/10,0.16,,0.16,,0.21,0.28,0.51,0.78,1.53,2.21,2.87,3.88,4.21
11/24/10,0.16,,0.16,,0.2,0.28,0.53,0.81,1.56,2.24,2.93,3.96,4.29
11/23/10,0.15,,0.15,,0.2,0.26,0.45,0.69,1.4,2.08,2.77,3.82,4.18
11/22/10,0.12,,0.15,,0.2,0.26,0.49,0.72,1.44,2.11,2.8,3.85,4.2
11/19/10,0.12,,0.14,,0.19,0.27,0.52,0.78,1.54,2.2,2.88,3.91,4.25
11/18/10,0.13,,0.15,,0.19,0.26,0.52,0.77,1.51,2.2,2.9,3.95,4.29
11/17/10,0.13,,0.14,,0.19,0.26,0.5,0.77,1.49,2.16,2.89,3.95,4.31
11/16/10,0.13,,0.15,,0.19,0.27,0.51,0.79,1.49,2.13,2.85,3.9,4.26
11/15/10,0.12,,0.14,,0.19,0.29,0.53,0.81,1.51,2.16,2.92,4.01,4.38
11/12/10,0.11,,0.13,,0.17,0.27,0.51,0.73,1.35,1.98,2.76,3.88,4.26
11/10/10,0.12,,0.13,,0.16,0.24,0.44,0.63,1.23,1.84,2.65,3.83,4.25
11/9/10,0.11,,0.13,,0.16,0.24,0.46,0.66,1.27,1.91,2.72,3.83,4.25
11/8/10,0.12,,0.13,,0.16,0.22,0.41,0.59,1.13,1.78,2.6,3.7,4.12
11/5/10,0.13,,0.13,,0.16,0.22,0.38,0.51,1.1,1.77,2.58,3.69,4.12
11/4/10,0.13,,0.13,,0.17,0.21,0.33,0.45,1.04,1.73,2.53,3.62,4.04
11/3/10,0.13,,0.13,,0.16,0.22,0.34,0.49,1.11,1.85,2.67,3.71,4.09
11/2/10,0.13,,0.13,,0.16,0.22,0.34,0.51,1.15,1.87,2.63,3.58,3.93
11/1/10,0.14,,0.13,,0.16,0.22,0.34,0.5,1.17,1.9,2.66,3.66,4.01
10/29/10,0.14,,0.12,,0.17,0.22,0.34,0.51,1.17,1.89,2.63,3.64,3.99
10/28/10,0.14,,0.13,,0.18,0.23,0.37,0.56,1.23,1.97,2.69,3.7,4.05
10/27/10,0.14,,0.14,,0.18,0.23,0.4,0.64,1.34,2.06,2.75,3.72,4.06
10/26/10,0.14,,0.14,,0.18,0.23,0.4,0.59,1.27,1.98,2.67,3.66,4
10/25/10,0.13,,0.14,,0.18,0.23,0.37,0.55,1.2,1.89,2.59,3.56,3.91
10/22/10,0.13,,0.13,,0.18,0.21,0.35,0.54,1.17,1.88,2.59,3.59,3.94
10/21/10,0.13,,0.13,,0.18,0.22,0.37,0.52,1.15,1.85,2.57,3.59,3.95
10/20/10,0.14,,0.14,,0.17,0.22,0.35,0.52,1.11,1.79,2.51,3.53,3.89
10/19/10,0.14,,0.14,,0.18,0.22,0.37,0.54,1.11,1.79,2.5,3.53,3.9
10/18/10,0.14,,0.15,,0.18,0.23,0.38,0.55,1.14,1.81,2.52,3.57,3.93
10/15/10,0.14,,0.14,,0.17,0.22,0.37,0.59,1.2,1.88,2.59,3.62,3.98
